"Story","Title","Result","Date","Stability","Duration (s)"
"Login Depo Web","Verify valid login for Depo web","FAILURE","2020-06-18T00:38:24.044+01:00[Europe/London]","0.0","24.66"
"Login Depo Web","Verify user with invalid username and paswword tries to login is not able to login","FAILURE","2020-06-18T00:38:48.847+01:00[Europe/London]","0.0","59.06"
